"","gene_name","cont_topology","intro_topology","control_trio_min","intro_trio_min"
"128","Solyc01g006000"," P1P2"," P2P3","P1P2","P2P3"
"129","Solyc01g006010"," P1P2"," P1P2","P1P3","P1P3"
"130","Solyc01g006020"," P1P2"," P1P2","P1P3","P1P3"
"131","Solyc01g006040"," P1P2"," P1P2","P2P3","P2P3"
"132","Solyc01g006090"," P1P2"," P1P2","P1P2","P1P2"
"133","Solyc01g006100"," P1P2"," P1P3","P1P2","P1P2"
"135","Solyc01g006120"," P1P2"," P1P2","P2P3","P2P3"
"136","Solyc01g006130"," P1P2"," P2P3","P2P3","P1P2"
"138","Solyc01g006150"," P1P2"," P1P2","P1P3","P1P3"
"139","Solyc01g006160"," P1P2"," P1P2","P2P3","P1P2"
"140","Solyc01g006170"," P1P2"," P1P2","P1P3","P1P2"
"141","Solyc01g006180"," P1P2"," P1P2","P1P2","P1P2"
"142","Solyc01g006190"," P1P2"," P1P2","P1P2","P1P3"
"144","Solyc01g006200"," P1P2"," P1P2","P1P2","P2P3"
"145","Solyc01g006210"," P1P2"," P1P2","P2P3","P1P2"
"146","Solyc01g006220"," P1P2"," P1P2","P1P3","P1P3"
"147","Solyc01g006230"," P1P2"," P1P2","P2P3","P1P3"
"151","Solyc01g006320"," P1P2"," P1P2","P1P3","P1P3"
"152","Solyc01g006340"," P1P2"," P1P2","P2P3","P1P2"
"153","Solyc01g006350"," P1P2"," P1P2","P1P3","P1P2"
"154","Solyc01g006360"," P1P2"," P1P2","P1P2","P1P3"
"155","Solyc01g006370"," P1P2"," P2P3","P1P2","P2P3"
"156","Solyc01g006400"," P1P2"," P1P2","P1P3","P2P3"
"157","Solyc01g006430"," P1P2"," P1P2","P1P2","P1P3"
"158","Solyc01g006450"," P1P2"," P1P2","P2P3","P1P2"
"159","Solyc01g006480"," P1P2"," P2P3","P2P3","P2P3"
"160","Solyc01g006490"," P1P2"," P2P3","P1P2","P2P3"
"161","Solyc01g006500"," P1P2"," P1P2","P1P2","P2P3"
"162","Solyc01g006510"," P1P2"," P1P2","P1P3","P1P3"
"163","Solyc01g006630"," P1P2"," P1P2","P2P3","P1P2"
"165","Solyc01g006670"," P1P2"," P1P2","P1P3","P2P3"
"167","Solyc01g006700"," P1P2"," P1P2","P2P3","P1P2"
"168","Solyc01g006710"," P1P2"," P1P2","P1P2","P1P3"
"169","Solyc01g006800"," P1P2"," P2P3","P1P2","P1P3"
"170","Solyc01g006810"," P1P2"," P1P2","P2P3","P1P3"
"171","Solyc01g006820"," P1P2"," P1P2","P2P3","P1P2"
"173","Solyc01g006830"," P1P2"," P1P2","P1P3","P1P2"
"175","Solyc01g006860"," P1P2"," P2P3","P2P3","P1P2"
"176","Solyc01g006870"," P1P2"," P1P2","P1P2","P2P3"
"177","Solyc01g006880"," P1P2"," P1P2","P1P2","P1P2"
"178","Solyc01g006890"," P1P2"," P1P2","P2P3","P2P3"
"179","Solyc01g006900"," P1P2"," P1P2","P1P3","P1P2"
"181","Solyc01g006930"," P1P2"," P1P2","P1P3","P2P3"
"182","Solyc01g006940"," P1P2"," P1P2","P1P3","P1P2"
"183","Solyc01g006960"," P1P2"," P1P2","P1P2","P1P2"
"184","Solyc01g006970"," P1P2"," P1P3","P1P3","P1P3"
"185","Solyc01g006980"," P1P2"," P1P2","P1P3","P1P2"
"186","Solyc01g006990"," P1P2"," P1P2","P1P3","P1P3"
"188","Solyc01g007070"," P1P2"," P1P2","P1P2","P2P3"
"189","Solyc01g007100"," P1P2"," P1P2","P1P3","P1P3"
"190","Solyc01g007110"," P1P2"," P1P2","P2P3","P2P3"
"191","Solyc01g007130"," P1P2"," P1P2","P1P2","P1P3"
"192","Solyc01g007140"," P1P2"," P1P2","P1P2","P1P2"
"193","Solyc01g007150"," P1P2"," P1P2","P1P3","P1P2"
"194","Solyc01g007170"," P1P2"," P1P2","P2P3","P1P2"
"195","Solyc01g007180"," P1P2"," P1P2","P1P2","P1P2"
"196","Solyc01g007190"," P1P2"," P1P2","P1P2","P1P3"
"197","Solyc01g007200"," P1P2"," P1P2","P2P3","P1P3"
"198","Solyc01g007220"," P1P2"," P1P2","P2P3","P1P3"
"199","Solyc01g007230"," P1P2"," P1P2","P2P3","P1P3"
"200","Solyc01g007250"," P1P2"," P1P2","P1P2","P1P3"
"202","Solyc01g007740"," P1P2"," P1P2","P1P2","P1P3"
"203","Solyc01g007750"," P1P2"," P1P2","P2P3","P1P3"
"204","Solyc01g007760"," P1P2"," P1P2","P1P2","P2P3"
"205","Solyc01g007780"," P1P2"," P1P2","P1P2","P1P2"
"206","Solyc01g007790"," P1P2"," P1P2","P2P3","P2P3"
"207","Solyc01g007810"," P1P2"," P1P2","P1P3","P1P2"
"209","Solyc01g007840"," P1P2"," P1P2","P1P3","P2P3"
"210","Solyc01g007850"," P1P2"," P1P2","P1P2","P1P2"
"212","Solyc01g007860"," P1P2"," P1P2","P1P3","P1P2"
"213","Solyc01g007870"," P1P2"," P1P2","P1P3","P2P3"
"214","Solyc01g007880"," P1P2"," P1P2","P2P3","P1P2"
"215","Solyc01g007890"," P1P2"," P1P2","P2P3","P1P3"
"216","Solyc01g007900"," P1P2"," P1P2","P1P2","P2P3"
"217","Solyc01g007910"," P1P2"," P1P2","P1P3","P1P2"
"219","Solyc01g007930"," P1P2"," P1P2","P1P3","P1P2"
"221","Solyc01g007990"," P1P2"," P1P2","P2P3","P1P3"
"223","Solyc01g008010"," P1P2"," P1P2","P1P3","P2P3"
"226","Solyc01g008070"," P1P2"," P1P2","P2P3","P2P3"
"227","Solyc01g008080"," P1P2"," P1P2","P1P3","P1P3"
"228","Solyc01g008090"," P1P2"," P1P2","P1P2","P1P2"
"229","Solyc01g008100"," P1P2"," P1P2","P1P2","P2P3"
"230","Solyc01g008110"," P1P2"," P1P2","P2P3","P1P2"
"231","Solyc01g008120"," P1P2"," P1P2","P1P2","P1P2"
"232","Solyc01g008130"," P1P2"," P1P2","P1P2","P2P3"
"233","Solyc01g008140"," P1P2"," P1P2","P1P3","P1P3"
"234","Solyc01g008160"," P1P2"," P1P2","P1P2","P2P3"
"235","Solyc01g008170"," P1P2"," P1P2","P1P2","P1P3"
"236","Solyc01g008180"," P1P2"," P1P2","P1P2","P1P2"
"237","Solyc01g008190"," P1P2"," P1P2","P2P3","P2P3"
"238","Solyc01g008200"," P1P2"," P2P3","P2P3","P2P3"
"241","Solyc01g008260"," P1P2"," P1P2","P1P2","P2P3"
"242","Solyc01g008270"," P1P2"," P1P2","P1P2","P1P3"
"243","Solyc01g008280"," P1P2"," P1P2","P1P2","P2P3"
"244","Solyc01g008290"," P1P2"," P1P2","P1P3","P2P3"
"246","Solyc01g008320"," P1P2"," P1P2","P1P2","P1P2"
"247","Solyc01g008330"," P1P2"," P1P2","P1P3","P1P2"
"248","Solyc01g008340"," P1P2"," P1P2","P1P2","P2P3"
"250","Solyc01g008370"," P1P2"," P2P3","P1P2","P2P3"
"251","Solyc01g008440"," P1P2"," P1P2","P1P2","P1P2"
"252","Solyc01g008460"," P1P2"," P2P3","P1P2","P2P3"
"253","Solyc01g008470"," P1P2"," P2P3","P1P3","P1P3"
"254","Solyc01g008480"," P1P2"," P1P3","P2P3","P1P3"
"256","Solyc01g008490"," P1P2"," P1P2","P1P2","P1P3"
"258","Solyc01g008520"," P1P2"," P1P2","P1P2","P1P2"
"259","Solyc01g008530"," P1P2"," P1P2","P1P3","P2P3"
"260","Solyc01g008550"," P1P2"," P2P3","P1P2","P2P3"
"261","Solyc01g008560"," P1P2"," P1P2","P1P2","P1P3"
"262","Solyc01g008600"," P1P2"," P1P2","P1P3","P1P3"
"264","Solyc01g008700"," P1P2"," P1P2","P1P2","P2P3"
"265","Solyc01g008730"," P1P2"," P1P2","P1P2","P1P3"
"266","Solyc01g008760"," P1P2"," P1P2","P1P3","P2P3"
"267","Solyc01g008770"," P1P2"," P1P2","P1P3","P2P3"
"268","Solyc01g008780"," P2P3"," P1P2","P1P2","P1P2"
"269","Solyc01g008790"," P1P2"," P1P2","P2P3","P1P2"
"270","Solyc01g008810"," P1P2"," P1P2","P1P3","P1P2"
"272","Solyc01g008840"," P1P2"," P1P2","P1P3","P2P3"
"273","Solyc01g008850"," P1P2"," P1P2","P1P3","P1P3"
"274","Solyc01g008890"," P1P2"," P1P2","P1P2","P1P2"
"276","Solyc01g008910"," P1P2"," P1P2","P2P3","P1P3"
"277","Solyc01g008930"," P1P2"," P1P2","P1P3","P1P3"
"278","Solyc01g008950"," P1P2"," P1P2","P1P3","P1P3"
"280","Solyc01g008970"," P1P2"," P1P2","P1P3","P2P3"
"283","Solyc01g009000"," P1P2"," P2P3","P1P3","P1P3"
"284","Solyc01g009010"," P1P2"," P1P2","P1P2","P1P2"
"285","Solyc01g009020"," P1P2"," P1P2","P2P3","P1P2"
"286","Solyc01g009030"," P1P2"," P1P2","P1P3","P1P2"
"287","Solyc01g009050"," P1P2"," P1P2","P2P3","P1P2"
"288","Solyc01g009060"," P1P2"," P1P2","P1P2","P1P2"
"289","Solyc01g009070"," P1P2"," P1P2","P1P2","P1P3"
"290","Solyc01g009090"," P1P2"," P1P2","P1P2","P1P3"
"291","Solyc01g009100"," P1P2"," P1P2","P1P2","P1P2"
"292","Solyc01g009120"," P1P2"," P1P3","P1P2","P1P3"
"293","Solyc01g009150"," P1P2"," P1P2","P1P2","P1P2"
"295","Solyc01g009170"," P1P2"," P1P2","P1P3","P1P2"
"298","Solyc01g009280"," P1P2"," P1P2","P2P3","P1P3"
"299","Solyc01g009290"," P1P2"," P1P2","P1P3","P2P3"
"300","Solyc01g009300"," P1P2"," P1P2","P2P3","P1P3"
"301","Solyc01g009310"," P1P2"," P1P2","P1P3","P1P2"
"302","Solyc01g009380"," P1P2"," P1P2","P1P2","P1P2"
"303","Solyc01g009390"," P1P2"," P1P2","P1P2","P1P2"
"304","Solyc01g009420"," P1P2"," P1P2","P1P2","P1P3"
"305","Solyc01g009430"," P1P2"," P1P2","P1P3","P1P3"
"306","Solyc01g009450"," P1P3"," P1P2","P1P3","P1P2"
"307","Solyc01g009500"," P1P2"," P1P2","P1P2","P2P3"
"308","Solyc01g009520"," P1P2"," P1P2","P1P2","P1P2"
"309","Solyc01g009610"," P1P2"," P1P2","P1P3","P2P3"
"310","Solyc01g009620"," P1P2"," P1P2","P1P2","P1P2"
"311","Solyc01g009630"," P1P2"," P1P2","P1P3","P1P2"
"312","Solyc01g009750"," P1P2"," P1P2","P1P2","P1P2"
"313","Solyc01g009780"," P1P2"," P1P2","P1P2","P2P3"
"315","Solyc01g009850"," P1P2"," P2P3","P1P2","P1P3"
"316","Solyc01g009860"," P1P2"," P1P2","P2P3","P1P3"
"317","Solyc01g009970"," P1P2"," P1P2","P1P3","P1P2"
"318","Solyc01g009990"," P1P2"," P1P2","P1P2","P1P2"
"320","Solyc01g010030"," P1P2"," P1P2","P1P2","P1P3"
"324","Solyc01g010150"," P1P2"," P2P3","P1P2","P2P3"
"325","Solyc01g010190"," P1P2"," P1P2","P1P2","P1P2"
"326","Solyc01g010200"," P1P2"," P1P2","P1P2","P1P2"
"327","Solyc01g010250"," P1P2"," P1P2","P1P3","P2P3"
"328","Solyc01g010270"," P1P2"," P1P3","P2P3","P1P2"
"329","Solyc01g010310"," P1P2"," P1P2","P1P3","P2P3"
"331","Solyc01g010430"," P1P2"," P1P2","P2P3","P2P3"
"332","Solyc01g010440"," P1P2"," P1P2","P1P3","P1P2"
"333","Solyc01g010460"," P1P2"," P1P2","P2P3","P2P3"
"334","Solyc01g010480"," P1P2"," P1P2","P1P3","P1P2"
"337","Solyc01g010540"," P1P2"," P1P2","P2P3","P1P3"
"339","Solyc01g010580"," P1P2"," P2P3","P1P2","P1P2"
"340","Solyc01g010590"," P1P2"," P1P3","P2P3","P1P3"
"342","Solyc01g010650"," P1P2"," P1P2","P1P2","P1P2"
"343","Solyc01g010660"," P1P2"," P1P2","P2P3","P2P3"
"345","Solyc01g010750"," P1P2"," P1P2","P1P3","P2P3"
"346","Solyc01g010760"," P1P2"," P2P3","P1P2","P1P3"
"347","Solyc01g010770"," P1P2"," P1P2","P1P2","P2P3"
"348","Solyc01g010780"," P1P2"," P1P2","P1P3","P1P3"
"349","Solyc01g010810"," P1P2"," P1P2","P1P3","P1P2"
"350","Solyc01g010820"," P1P2"," P1P2","P1P2","P2P3"
"351","Solyc01g010830"," P1P2"," P1P2","P2P3","P1P2"
"355","Solyc01g010880"," P1P2"," P1P2","P2P3","P1P2"
"356","Solyc01g010920"," P1P2"," P1P2","P2P3","P1P3"
"357","Solyc01g010930"," P1P2"," P1P2","P1P3","P1P3"
"360","Solyc01g010970"," P1P2"," P1P2","P1P3","P2P3"
"362","Solyc01g011000"," P1P2"," P1P3","P1P2","P1P2"
"365","Solyc01g011080"," P1P2"," P1P3","P1P3","P1P2"
"367","Solyc01g011350"," P1P2"," P1P3","P1P3","P1P2"
"368","Solyc01g014180"," P1P2"," P1P2","P1P2","P1P2"
"369","Solyc01g014230"," P1P2"," P1P2","P1P2","P1P3"
"370","Solyc01g014480"," P1P2"," P1P2","P1P3","P2P3"
"372","Solyc01g014620"," P1P2"," P1P2","P1P2","P2P3"
"374","Solyc01g014850"," P1P2"," P1P2","P1P3","P2P3"
"376","Solyc01g015020"," P1P2"," P1P2","P2P3","P2P3"
"377","Solyc01g016410"," P1P3"," P1P2","P1P3","P1P3"
"378","Solyc01g016470"," P1P2"," P1P2","P1P2","P1P2"
"380","Solyc01g020240"," P1P2"," P1P2","P1P2","P1P2"
"384","Solyc01g021640"," P1P2"," P1P2","P1P2","P1P2"
"388","Solyc01g022750"," P1P2"," P1P2","P1P2","P1P2"
"390","Solyc01g034020"," P1P2"," P1P2","P1P3","P1P2"
"391","Solyc01g034150"," P1P2"," P1P2","P1P3","P1P3"
"392","Solyc01g028930"," P1P2"," P1P2","P1P3","P1P3"
"393","Solyc01g028900"," P1P2"," P1P2","P2P3","P1P2"
"394","Solyc01g028870"," P1P2"," P1P2","P1P3","P1P3"
"395","Solyc01g028860"," P1P2"," P1P2","P2P3","P1P3"
"396","Solyc01g028830"," P1P2"," P1P2","P1P3","P2P3"
"397","Solyc01g028810"," P1P2"," P1P2","P1P2","P2P3"
"398","Solyc01g044270"," P1P2"," P1P2","P2P3","P1P2"
"401","Solyc01g044360"," P1P2"," P1P2","P2P3","P2P3"
"402","Solyc01g049650"," P1P2"," P1P2","P1P2","P1P2"
"403","Solyc01g049680"," P1P2"," P2P3","P2P3","P2P3"
"404","Solyc01g049690"," P1P2"," P1P2","P2P3","P1P3"
"406","Solyc01g049890"," P1P2"," P1P2","P1P2","P1P2"
"408","Solyc01g049960"," P1P2"," P1P2","P1P3","P2P3"
"411","Solyc01g050070"," P2P3"," P1P3","P2P3","P2P3"
"412","Solyc01g056340"," P1P2"," P2P3","P2P3","P2P3"
"414","Solyc01g056570"," P1P2"," P1P2","P2P3","P1P2"
"417","Solyc01g056690"," P1P2"," P1P2","P1P2","P2P3"
"420","Solyc01g056780"," P1P2"," P1P2","P2P3","P1P3"
"421","Solyc01g056810"," P1P2"," P1P2","P1P2","P1P2"
"422","Solyc01g056850"," P1P2"," P1P2","P2P3","P1P2"
"423","Solyc01g056940"," P1P2"," P1P2","P1P2","P1P2"
"424","Solyc01g057020"," P1P2"," P1P2","P1P2","P1P2"
"427","Solyc01g057200"," P1P2"," P1P3","P2P3","P1P2"
"428","Solyc01g057210"," P1P2"," P2P3","P1P3","P2P3"
"431","Solyc01g057310"," P1P2"," P1P2","P2P3","P1P2"
"432","Solyc01g057520"," P1P2"," P2P3","P1P2","P2P3"
"435","Solyc01g057770"," P1P2"," P1P2","P1P2","P2P3"
"436","Solyc01g057780"," P1P2"," P1P2","P1P3","P1P2"
"437","Solyc01g057830"," P1P2"," P2P3","P1P3","P2P3"
"438","Solyc01g057840"," P1P2"," P1P2","P2P3","P1P3"
"439","Solyc01g057850"," P1P2"," P2P3","P1P3","P2P3"
"440","Solyc01g057900"," P1P2"," P1P2","P1P3","P1P2"
"443","Solyc01g058140"," P1P2"," P1P2","P1P3","P1P2"
"444","Solyc01g058160"," P1P2"," P1P2","P1P3","P1P2"
"446","Solyc01g058190"," P1P2"," P1P2","P1P2","P1P2"
"447","Solyc01g058200"," P1P2"," P1P2","P1P3","P1P2"
"448","Solyc01g058260"," P1P2"," P1P2","P1P3","P1P2"
"450","Solyc01g058280"," P1P2"," P1P2","P1P3","P2P3"
"451","Solyc01g058390"," P1P2"," P1P2","P1P2","P1P2"
"452","Solyc01g058450"," P1P2"," P2P3","P2P3","P1P3"
"453","Solyc01g058500"," P2P3"," P1P2","P2P3","P1P3"
"456","Solyc01g058670"," P1P2"," P1P2","P1P3","P1P3"
"457","Solyc01g058720"," P1P2"," P1P2","P2P3","P1P2"
"461","Solyc01g059860"," P1P2"," P1P2","P1P3","P1P3"
"462","Solyc01g059870"," P1P2"," P1P2","P1P3","P1P3"
"463","Solyc01g059880"," P1P2"," P1P2","P1P2","P1P3"
"464","Solyc01g059920"," P1P2"," P1P2","P1P3","P1P3"
"466","Solyc01g060030"," P1P2"," P1P2","P1P2","P1P2"
"467","Solyc01g060040"," P1P2"," P1P2","P1P2","P1P2"
"468","Solyc01g060080"," P1P2"," P1P2","P1P3","P1P2"
"471","Solyc01g060140"," P1P2"," P1P2","P1P3","P2P3"
"473","Solyc01g060180"," P1P2"," P1P2","P1P3","P1P2"
"475","Solyc01g060260"," P1P2"," P2P3","P2P3","P2P3"
"476","Solyc01g060280"," P1P2"," P1P3","P1P2","P1P2"
"478","Solyc01g060470"," P1P2"," P1P2","P1P3","P2P3"
"479","Solyc01g065490"," P1P2"," P1P2","P1P2","P1P3"
"483","Solyc01g065550"," P1P2"," P1P2","P2P3","P2P3"
"484","Solyc01g065560"," P1P2"," P1P2","P2P3","P1P3"
"485","Solyc01g065580"," P1P2"," P1P2","P1P2","P2P3"
"487","Solyc01g065720"," P1P2"," P2P3","P2P3","P1P3"
"488","Solyc01g065740"," P1P2"," P1P2","P1P2","P2P3"
"490","Solyc01g065980"," P1P2"," P1P2","P1P2","P1P2"
"491","Solyc01g066050"," P1P2"," P1P2","P1P2","P2P3"
"492","Solyc01g066060"," P1P2"," P1P2","P1P2","P2P3"
"493","Solyc01g066310"," P1P2"," P1P2","P2P3","P2P3"
"494","Solyc01g066430"," P1P2"," P2P3","P1P3","P1P3"
"495","Solyc01g066440"," P1P2"," P1P2","P2P3","P1P2"
"496","Solyc01g066480"," P1P2"," P1P3","P1P3","P1P2"
"497","Solyc01g066520"," P1P2"," P1P2","P1P3","P1P2"
"498","Solyc01g066570"," P1P2"," P1P2","P1P3","P1P2"
"499","Solyc01g066590"," P1P2"," P1P2","P1P3","P1P3"
"500","Solyc01g066640"," P1P2"," P1P2","P1P3","P2P3"
"501","Solyc01g066690"," P1P2"," P1P2","P2P3","P1P3"
"502","Solyc01g066700"," P1P2"," P2P3","P1P2","P2P3"
"503","Solyc01g066720"," P1P2"," P1P2","P1P2","P1P2"
"504","Solyc01g066760"," P1P2"," P1P2","P1P3","P2P3"
"505","Solyc01g066770"," P1P2"," P1P2","P2P3","P1P2"
"507","Solyc01g066830"," P1P2"," P1P2","P1P2","P1P3"
"508","Solyc01g066840"," P1P2"," P1P2","P1P3","P1P2"
"509","Solyc01g066870"," P1P2"," P1P2","P1P2","P1P3"
"511","Solyc01g066910"," P1P2"," P1P2","P2P3","P1P3"
"513","Solyc01g067000"," P1P2"," P1P2","P1P2","P2P3"
"514","Solyc01g067010"," P1P2"," P2P3","P1P2","P1P3"
"516","Solyc01g067040"," P1P2"," P1P3","P1P3","P1P2"
"517","Solyc01g067070"," P1P2"," P1P2","P2P3","P1P3"
"518","Solyc01g067080"," P1P2"," P1P2","P1P2","P1P2"
"519","Solyc01g067090"," P1P2"," P1P2","P1P2","P1P2"
"520","Solyc01g067100"," P1P2"," P1P2","P2P3","P1P2"
"524","Solyc01g067280"," P1P2"," P1P2","P1P3","P2P3"
"525","Solyc01g067360"," P1P2"," P1P2","P1P2","P1P3"
"526","Solyc01g067380"," P1P2"," P1P2","P1P2","P1P2"
"527","Solyc01g067390"," P1P2"," P1P2","P1P3","P1P2"
"528","Solyc01g067400"," P1P2"," P1P2","P1P3","P2P3"
"532","Solyc01g067480"," P1P2"," P1P2","P1P3","P1P2"
"533","Solyc01g067490"," P1P2"," P1P2","P1P3","P1P3"
"534","Solyc01g067500"," P1P2"," P1P2","P2P3","P2P3"
"535","Solyc01g067530"," P1P2"," P1P3","P1P2","P2P3"
"537","Solyc01g067560"," P1P2"," P1P2","P1P2","P1P2"
"538","Solyc01g067570"," P1P2"," P2P3","P2P3","P2P3"
"539","Solyc01g067580"," P1P2"," P1P2","P1P3","P1P2"
"540","Solyc01g067590"," P1P2"," P1P2","P2P3","P1P2"
"541","Solyc01g067600"," P1P2"," P1P2","P1P2","P1P3"
"542","Solyc01g067610"," P1P2"," P1P2","P2P3","P1P2"
"543","Solyc01g067620"," P1P2"," P1P2","P2P3","P1P3"
"544","Solyc01g067630"," P1P2"," P1P2","P2P3","P1P2"
"545","Solyc01g067640"," P1P2"," P1P2","P1P2","P2P3"
"546","Solyc01g067660"," P1P2"," P1P2","P2P3","P1P3"
"548","Solyc01g067690"," P1P2"," P1P2","P2P3","P2P3"
"549","Solyc01g067710"," P1P2"," P1P2","P1P3","P2P3"
"550","Solyc01g067720"," P1P2"," P1P3","P1P3","P1P3"
"551","Solyc01g067730"," P1P2"," P1P2","P1P2","P1P3"
"552","Solyc01g067740"," P1P2"," P1P3","P1P3","P2P3"
"553","Solyc01g067750"," P1P2"," P1P2","P1P3","P2P3"
"554","Solyc01g067790"," P1P2"," P1P2","P1P3","P2P3"
"555","Solyc01g067800"," P1P2"," P1P2","P1P3","P1P2"
"557","Solyc01g067830"," P1P2"," P2P3","P1P3","P2P3"
"558","Solyc01g067890"," P1P2"," P1P2","P1P2","P1P2"
"559","Solyc01g067900"," P1P2"," P1P2","P2P3","P1P2"
"562","Solyc01g067940"," P1P2"," P1P3","P1P2","P2P3"
"563","Solyc01g068000"," P1P2"," P1P2","P2P3","P2P3"
"565","Solyc01g068030"," P1P2"," P1P2","P1P2","P1P3"
"567","Solyc01g068050"," P1P2"," P2P3","P1P3","P2P3"
